******************************************* HomeWork : 5 *******************************************
*                                     Version 0.4 (CUDA Programming)                               *
*                              EE 5321 CAE Simulation on HPC Systems                               *
*                        Contact: (Vittal) v_s191@txstate.edu  (A04848680)                         *
*                                      Texas State University                                      *
****************************************************************************************************

  HostRand,AvgHostRand,   MemcpH2C,AvgMemcpH2C,  MMPlyCuda,AvgMMPlyCuda,MinMMPlyCuda,  MemcpC2H,AvgMemcpC2H
  0.183933,   0.183933,   0.003531,   0.003531,    1.3e-05,    1.3e-05,    1.3e-05,   0.020096,   0.020096, 
  0.181654,   0.182793,   0.003486,  0.0035085,      3e-06,      8e-06,      3e-06,   0.016209,  0.0181525, 
  0.181876,   0.182488,   0.003513,    0.00351,      3e-06, 6.33333e-06,      3e-06,   0.016197,  0.0175007, 
  0.181837,   0.182325,   0.003506,   0.003509,      3e-06,    5.5e-06,      3e-06,   0.016195,  0.0171742, 
  0.181419,   0.182144,   0.003518,  0.0035108,      3e-06,      5e-06,      3e-06,   0.016174,  0.0169742, 
  0.180936,   0.181943,   0.003498, 0.00350867,      3e-06, 4.66667e-06,      3e-06,    0.01617,  0.0168402, 
  0.181315,   0.181853,   0.003489, 0.00350586,      2e-06, 4.28571e-06,      2e-06,   0.016194,  0.0167479, 
  0.182447,   0.181927,    0.00443, 0.00362138,      5e-06,  4.375e-06,      2e-06,   0.016454,  0.0167111, 
   0.18097,   0.181821,   0.003515, 0.00360956,      3e-06, 4.22222e-06,      2e-06,    0.01616,  0.0166499, 
  0.181099,   0.181749,   0.003492,  0.0035978,      2e-06,      4e-06,      2e-06,   0.016223,  0.0166072, 
  0.180897,   0.181671,   0.003509, 0.00358973,      3e-06, 3.90909e-06,      2e-06,   0.016154,   0.016566, 
  0.181484,   0.181656,   0.003511, 0.00358317,      2e-06,   3.75e-06,      2e-06,   0.016163,  0.0165324, 
  0.181377,   0.181634,   0.003493, 0.00357623,      2e-06, 3.61538e-06,      2e-06,   0.016202,   0.016507, 
  0.181851,    0.18165,   0.003492, 0.00357021,      2e-06,    3.5e-06,      2e-06,   0.016153,  0.0164817, 
  0.181586,   0.181645,   0.003495,  0.0035652,      2e-06,    3.4e-06,      2e-06,   0.016158,  0.0164601, 
  0.181221,   0.181619,   0.003511, 0.00356181,      3e-06,  3.375e-06,      2e-06,   0.016193,  0.0164434, 
  0.181462,    0.18161,   0.003496, 0.00355794,      3e-06, 3.35294e-06,      2e-06,   0.016189,  0.0164285, 
  0.181547,   0.181606,   0.003493, 0.00355433,      3e-06, 3.33333e-06,      2e-06,   0.016171,  0.0164142, 
  0.181912,   0.181622,   0.003512, 0.00355211,      4e-06, 3.36842e-06,      2e-06,   0.016174,  0.0164015, 
  0.181875,   0.181635,   0.003523, 0.00355065,      3e-06,   3.35e-06,      2e-06,   0.016157,  0.0163893, 
  0.181275,   0.181618,   0.003485, 0.00354752,      3e-06, 3.33333e-06,      2e-06,    0.01619,  0.0163798, 
  0.181519,   0.181613,   0.003521, 0.00354632,      3e-06, 3.31818e-06,      2e-06,   0.016168,  0.0163702, 
  0.181478,   0.181607,   0.003498, 0.00354422,      3e-06, 3.30435e-06,      2e-06,   0.016177,  0.0163618, 
  0.180993,   0.181582,   0.003487, 0.00354183,      3e-06, 3.29167e-06,      2e-06,   0.016151,   0.016353, 
  0.180819,   0.181551,   0.003505, 0.00354036,      2e-06,   3.24e-06,      2e-06,   0.016163,  0.0163454, 
   0.18088,   0.181525,   0.003523, 0.00353969,      3e-06, 3.23077e-06,      2e-06,   0.016164,  0.0163384, 
  0.181622,   0.181529,   0.003525, 0.00353915,      2e-06, 3.18519e-06,      2e-06,   0.016204,  0.0163334, 
  0.181809,   0.181539,   0.004207,   0.003563,      6e-06, 3.28571e-06,      2e-06,   0.016452,  0.0163377, 
   0.18088,   0.181516,   0.003508,  0.0035611,      3e-06, 3.27586e-06,      2e-06,   0.016224,  0.0163338, 
  0.180942,   0.181497,   0.003486,  0.0035586,      3e-06, 3.26667e-06,      2e-06,   0.016159,  0.0163279, 
  0.180815,   0.181475,   0.003552, 0.00355839,      3e-06, 3.25806e-06,      2e-06,   0.016191,  0.0163235, 
  0.181078,   0.181463,   0.003507, 0.00355678,      3e-06,   3.25e-06,      2e-06,    0.01616,  0.0163184, 
  0.180804,   0.181443,    0.00348, 0.00355445,      2e-06, 3.21212e-06,      2e-06,   0.016159,  0.0163136, 
  0.180545,   0.181416,   0.003496, 0.00355274,      2e-06, 3.17647e-06,      2e-06,     0.0162,  0.0163102, 
  0.181039,   0.181406,   0.003495, 0.00355109,      3e-06, 3.17143e-06,      2e-06,   0.016157,  0.0163059, 
   0.18096,   0.181393,   0.003482, 0.00354917,      2e-06, 3.13889e-06,      2e-06,   0.016188,  0.0163026, 
  0.181061,   0.181384,   0.003485, 0.00354743,      2e-06, 3.10811e-06,      2e-06,   0.016163,  0.0162988, 
  0.180765,   0.181368,   0.003471, 0.00354542,      3e-06, 3.10526e-06,      2e-06,   0.016198,  0.0162962, 
  0.181315,   0.181367,   0.003511, 0.00354454,      2e-06, 3.07692e-06,      2e-06,   0.016192,  0.0162935, 
